26238;Gloves of Ivillines;1;100;240000;itm_WeaKnuNecryn.bmp;Strong and mysterious gloves
30506;cFlyFF Cloak;1;100;NULL;itm_ArmCloCloCFlyFF.bmp;cFlyFF Special Members\ Cloak
26237;Great Axe of Ivillines;1;100;NULL;itm_WeaAxtAvniti.bmp;A strong and mysterious Great Axe
26236;Axe of Ivillines;1;100;NULL;itm_WeaAxeNeedre.bmp;A strong and mysterious Axe
26235;Great Sword of Ivillines;1;100;NULL;itm_WeaSwtZweiga.bmp;A strong and mysterious Great Sword
26234;Sword of Ivillines;1;100;NULL;itm_WeaSwoShyer.bmp;A mighty blade sharpened on the lives of enemies
26111;Cats Shoes+ (F;1;100;NULL;Itm_fCloCatsuit01Shoes.bmp;Cats shoes for Female characters with a stat bonus.
26110;Cats Gloves+ (F;1;100;NULL;Itm_fCloCatsuit01Gloves.bmp;Cats gloves for Female characters with a stat bonus.
26109;Cats Suit+ (F;1;100;NULL;Itm_fCloCatsuit01Suit.bmp;Cats suit for Female characters with a stat bonus.
26108;Cats Hat+ (F;1;100;NULL;Itm_fCloCatsuit01Hat.bmp;Cats hat for Female characters with a stat bonus.
26107;Cats Shoes+ (M;1;100;NULL;Itm_mCloCatsuit01Shoes.bmp;Cats shoes for Male characters with a stat bonus.
26106;Cats Gloves+ (M;1;100;NULL;Itm_mCloCatsuit01Gloves.bmp;Cats gloves for Male characters with a stat bonus.
26105;Cats Suit+ (M;1;100;NULL;Itm_mCloCatsuit01Suit.bmp;Cats suit for Male characters with a stat bonus.
26104;Cats Hat+ (M;1;100;NULL;Itm_mCloCatsuit01Hat.bmp;Cats hat for Male characters with a stat bonus.
20011;Odd Box;1;100;NULL;itm_EveBalPbox.bmp;
20012;Even Box;1;100;NULL;itm_EveBalPbox.bmp;
30006;Yukata Set (F;1;100;NULL;Itm_SysSysScrBxLuck.bmp;Yukata set for Female characters
30005;Yukata Set (M;1;100;NULL;Itm_SysSysScrBxLuck.bmp;Yukata set for Male characters
30023;Riding Cloud Box ;1;100;NULL;itm_EveBalPbox.bmp;Contains random items and a small chance for a Riding Cloud
30022;Wooden Horse Box;1;100;NULL;itm_EveBalPbox.bmp;Contains random items and a small chance for a Wooden Horse
30021;Syila Box;1;100;NULL;itm_EveBalPbox.bmp;Contains random items and a small chance for a Syila Hovebike
30010;Mask Box;1;100;NULL;itm_EveBalPbox.bmp;Contains random items and a small chance to get a mask
